Nome do produto,Variante de produto,SKU,Preço,Quantidade,Vendas brutas,Descontos,Impostos,Total de itens
The Devotions of Dragonus - Head,Desconhecido,Desconhecido,Desconhecido,3,"R$ 5,51","R$ 0,04","R$ 0,00","R$ 5,47"
Pin: The International 2019 Attendee,Desconhecido,Desconhecido,Desconhecido,3,"R$ 7,25","R$ 1,78","R$ 0,00","R$ 5,47"
Temple Guardian - Arms,Desconhecido,Desconhecido,Desconhecido,1,"R$ 5,42","R$ 0,00","R$ 0,00","R$ 5,42"
Rabid Watchcog,Desconhecido,Desconhecido,Desconhecido,10,"R$ 6,26","R$ 0,86","R$ 0,00","R$ 5,40"
Huntling,Desconhecido,Desconhecido,Desconhecido,1,"R$ 5,40","R$ 0,00","R$ 0,00","R$ 5,40"
Inscribed Baneful Devotion,Desconhecido,Desconhecido,Desconhecido,2,"R$ 10,94","R$ 5,59","R$ 0,00","R$ 5,35"
Golden Eye of Ix'yxa,Desconhecido,Desconhecido,Desconhecido,4,"R$ 7,37","R$ 2,10","R$ 0,00","R$ 5,27"
Direstone,Desconhecido,Desconhecido,Desconhecido,1,"R$ 5,35","R$ 0,11","R$ 0,00","R$ 5,24"
Autographed Basher of Mage Skulls,Desconhecido,Desconhecido,Desconhecido,1,"R$ 5,31","R$ 0,11","R$ 0,00","R$ 5,20"
Autographed Mask of the Confidant,Desconhecido,Desconhecido,Desconhecido,1,"R$ 5,19","R$ 0,00","R$ 0,00","R$ 5,19"
Auspicious Recluse Reef Denizen,Desconhecido,Desconhecido,Desconhecido,1,"R$ 5,78","R$ 0,60","R$ 0,00","R$ 5,18"
The Devotions of Dragonus - Cursor Pack,Desconhecido,Desconhecido,Desconhecido,2,"R$ 5,22","R$ 0,05","R$ 0,00","R$ 5,17"
The Devotions of Dragonus - Belt,Desconhecido,Desconhecido,Desconhecido,4,"R$ 5,75","R$ 0,61","R$ 0,00","R$ 5,14"
Mask of the Forgotten Plane,Desconhecido,Desconhecido,Desconhecido,1,"R$ 5,13","R$ 0,00","R$ 0,00","R$ 5,13"
Butch,Desconhecido,Desconhecido,Desconhecido,8,"R$ 5,79","R$ 0,67","R$ 0,00","R$ 5,12"
Inscribed Primal Peacemaker,Desconhecido,Desconhecido,Desconhecido,3,"R$ 5,14","R$ 0,07","R$ 0,00","R$ 5,07"
Genuine Tolling Shadows,Desconhecido,Desconhecido,Desconhecido,1,"R$ 5,10","R$ 0,10","R$ 0,00","R$ 5,00"
Vigil Signet,Desconhecido,Desconhecido,Desconhecido,6,"R$ 56,06","R$ 51,08","R$ 0,00","R$ 4,98"
Flight of Epiphany,Desconhecido,Desconhecido,Desconhecido,10,"R$ 5,06","R$ 0,08","R$ 0,00","R$ 4,98"
Barding of Balaur - Ice Head,Desconhecido,Desconhecido,Desconhecido,1,"R$ 4,97","R$ 0,00","R$ 0,00","R$ 4,97"
Inscribed Eyes of Ardenok,Desconhecido,Desconhecido,Desconhecido,4,"R$ 5,17","R$ 0,24","R$ 0,00","R$ 4,93"
Wings of Imperium,Desconhecido,Desconhecido,Desconhecido,1,"R$ 4,90","R$ 0,00","R$ 0,00","R$ 4,90"
Shadow of the Dark Age,Desconhecido,Desconhecido,Desconhecido,12,"R$ 5,12","R$ 0,25","R$ 0,00","R$ 4,87"
Inscribed First of the Flood,Desconhecido,Desconhecido,Desconhecido,2,"R$ 4,90","R$ 0,04","R$ 0,00","R$ 4,86"
Hexgill the Lane Shark,Desconhecido,Desconhecido,Desconhecido,2,"R$ 4,83","R$ 0,00","R$ 0,00","R$ 4,83"
Silver Squall - Armor,Desconhecido,Desconhecido,Desconhecido,1,"R$ 4,83","R$ 0,00","R$ 0,00","R$ 4,83"
Sky-High Warship Wings,Desconhecido,Desconhecido,Desconhecido,1,"R$ 4,79","R$ 0,00","R$ 0,00","R$ 4,79"
Whispering Wings - Weapon,Desconhecido,Desconhecido,Desconhecido,2,"R$ 5,77","R$ 0,98","R$ 0,00","R$ 4,79"
Inscribed Crimson Pique,Desconhecido,Desconhecido,Desconhecido,1,"R$ 4,76","R$ 0,00","R$ 0,00","R$ 4,76"
Medium Frostmoot,Desconhecido,Desconhecido,Desconhecido,3,"R$ 4,97","R$ 0,25","R$ 0,00","R$ 4,72"
Bracers of Forlorn Precipice,Desconhecido,Desconhecido,Desconhecido,8,"R$ 4,72","R$ 0,04","R$ 0,00","R$ 4,68"
Babka the Bewitcher,Desconhecido,Desconhecido,Desconhecido,4,"R$ 4,71","R$ 0,03","R$ 0,00","R$ 4,68"
Lycosidae's Favor,Desconhecido,Desconhecido,Desconhecido,2,"R$ 5,00","R$ 0,34","R$ 0,00","R$ 4,66"
Awaleb's Trundleweed,Desconhecido,Desconhecido,Desconhecido,8,"R$ 4,68","R$ 0,02","R$ 0,00","R$ 4,66"
Inscribed White Sentry,Desconhecido,Desconhecido,Desconhecido,1,"R$ 4,66","R$ 0,00","R$ 0,00","R$ 4,66"
Goldhorn,Desconhecido,Desconhecido,Desconhecido,1,"R$ 4,65","R$ 0,00","R$ 0,00","R$ 4,65"
Taunt: For Death and Honor,Desconhecido,Desconhecido,Desconhecido,1,"R$ 6,08","R$ 1,46","R$ 0,00","R$ 4,62"
Inscribed Aspect of Oscilla,Desconhecido,Desconhecido,Desconhecido,4,"R$ 4,64","R$ 0,05","R$ 0,00","R$ 4,59"
Draconic Divide,Desconhecido,Desconhecido,Desconhecido,15,"R$ 5,25","R$ 0,70","R$ 0,00","R$ 4,55"
Taunt: More Than Mental Mass (30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,1,"R$ 4,50","R$ 0,00","R$ 0,00","R$ 4,50"
Bloodmayne Avenger,Desconhecido,Desconhecido,Desconhecido,10,"R$ 5,86","R$ 1,37","R$ 0,00","R$ 4,49"
Inscribed Span of Black Nihility,Desconhecido,Desconhecido,Desconhecido,1,"R$ 4,49","R$ 0,00","R$ 0,00","R$ 4,49"
Pachyderm Powderwagon Spleen,Desconhecido,Desconhecido,Desconhecido,2,"R$ 4,81","R$ 0,32","R$ 0,00","R$ 4,49"
